Timestamp,ViolationType,Location,Channel
2026-04-01 08:14:47,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:14:53,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:14:56,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:06,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:07,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:15:16,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:26,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:28,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:15:36,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:40,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:15:46,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:15:52,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:15:56,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:02,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:16:02,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:16:06,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:14,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:16:17,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:24,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:16:27,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:34,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:16:35,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:16:37,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:49,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:16:58,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:16:59,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:01,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:17:08,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:17:09,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:14,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:17:18,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:17:19,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:29,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:37,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:17:39,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:47,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:17:49,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:17:57,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:17:58,"No Helmet (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:18:07,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:18:07,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:18:08,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:18:17,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:18:18,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:18:24,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Mask (P3)",Zone A,email+telegram
2026-04-01 08:18:25,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:18:25,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3) | No Helmet, No Mask (P4)",Zone A,email+telegram
2026-04-01 08:18:28,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:18:28,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:18:37,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:18:38,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:18:42,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 08:18:54,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 08:18:57,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 08:19:05,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:03,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:13,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:23,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:29,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 12:59:33,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:39,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 12:59:43,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 12:59:53,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:00:11,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:00:15,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:00:16,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 13:00:21,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:02:00,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:02:01,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:02:01,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 13:02:11,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:02:12,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:02:18,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 13:02:29,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:02:30,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:06:09,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:06:11,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:06:12,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 13:06:19,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:06:29,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:06:39,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:39:13,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:39:23,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:44:09,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:44:12,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:44:19,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:46:53,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:46:59,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:47:03,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:47:11,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:47:13,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:47:21,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:47:23,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:47:31,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:47:33,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:47:41,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:47:43,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:49:37,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:49:38,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:52:03,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:52:09,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:52:13,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:52:19,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:52:23,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:52:27,No Mask (P1),Zone A,email+telegram
2026-04-01 13:52:29,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 13:52:30,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 13:52:33,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 13:52:34,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3) | No Helmet, No Mask (P4)",Zone A,email+telegram
2026-04-01 14:03:39,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:03:42,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:15:22,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:16:47,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:16:49,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:16:59,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:16:59,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:09,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:17:10,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:20,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:25,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:17:30,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:32,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 14:17:35,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:17:40,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:46,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:17:51,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:17:53,No Helmet (P1),Zone A,email+telegram
2026-04-01 14:17:56,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:18:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:21:48,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:21:58,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:22:04,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:30:04,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:30:10,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:30:14,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:30:24,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:30:24,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:30:25,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 14:30:34,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:30:34,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:11,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:17,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:41:21,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:27,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:41:31,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:41,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:41:51,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:41:51,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:04,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:42:05,No Mask (P1),Zone A,email+telegram
2026-04-01 14:42:11,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:21,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:31,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:41,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:42:51,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:01,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:12,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:12,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:43:22,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:25,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:43:32,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:36,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:43:42,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:43:52,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:44:02,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:44:12,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:44:22,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:44:24,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:46:55,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:46:55,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:05,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:47:05,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 14:47:05,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:15,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:47:19,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:25,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:47:31,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:35,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:47:37,"No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:41,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:47:45,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:50:26,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:50:27,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:50:36,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:50:39,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:50:46,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:50:55,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 14:50:56,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:51:06,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 14:51:07,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:20:09,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:20:10,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:20:20,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:20:29,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 15:20:30,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:20:30,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:20:40,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:20:41,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:53:16,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:53:27,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:53:45,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:53:55,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:06,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:12,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:54:16,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:26,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:54:26,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:36,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:54:40,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 15:54:41,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:47,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:54:52,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:54:52,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 15:54:59,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:55:05,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:55:15,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:57:40,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:57:40,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 15:57:50,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 15:57:51,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:05:38,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:05:40,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:05:48,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:05:52,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:06:02,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:06:05,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:13,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:06:15,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:25,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:35,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:36,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:06:45,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:56,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:06:57,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:07:07,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:07:08,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:07:18,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:07:22,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:07:28,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:07:32,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:07:32,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2) | No Helmet, No Mask (P3)",Zone A,email+telegram
2026-04-01 16:22:33,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:22:36,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:22:47,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:22:57,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:22:58,No Mask (P1),Zone A,email+telegram
2026-04-01 16:23:09,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:23:25,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:28:13,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:28:13,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:28:23,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:28:33,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:28:34,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:28:43,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:28:44,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:28:54,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:28:58,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:32:14,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:32:14,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:32:24,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:32:34,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:32:44,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:32:50,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:32:54,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:33:00,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:33:12,"No Helmet, No Mask (P1) | No Helmet, No Mask (P2)",Zone A,email+telegram
2026-04-01 16:33:12,"No Helmet, No Mask (P1)",Zone A,email+telegram
2026-04-01 16:33:26,"No Helmet, No Mask (P1)",Zone A,email+telegram
